"CODE","zh"
"FIF_DOU_WS_BROWSERTP","在默认浏览器上查看此资产 Steam 工坊页面"
"FIF_SET_RES_PANEL","在 Find It 关闭后重置 Find It 面板"
"FIF_SET_RES_PANELTP","关闭 Find It 面板时重置所有面板选项"
"FIF_SE_ICONTP","导出搜索结果"
"FIF_EXPORT_SEARCH","将搜索结果导出到 HTML 文件"
"FIF_EF_DS","District Style"
"FIF_SET_CHA","Allow asset creators to hide dependency assets from search results"
"FIF_SET_CHATP","assets with creator_hidden in their description will be excluded from future search results"
"FIF_GR_RW2W","Residential Wall-to-Wall"
"FIF_GR_CW2W","Commercial Wall-to-Wall"
"FIF_GR_OW2W","Office Wall-to-Wall"
"FIF_NET_ZPATH","Zonable Paths"
"FIF_PLOP_SP","Service Points"
